,instant,dteday,season,yr,mnth,hr,holiday,weekday,workingday,weathersit,temp,atemp,hum,windspeed,casual,registered,cnt
55,3814,2011-06-12,2,0,6,19,0,0,0,1,0.7,0.6667,0.74,0.1045,67,156,223
56,11945,2012-05-17,2,1,5,21,0,4,1,1,0.58,0.5455,0.4,0.1045,45,254,299
57,5405,2011-08-18,3,0,8,2,0,4,1,1,0.66,0.6212,0.65,0.2239,2,4,6
58,2037,2011-03-30,2,0,3,17,0,3,1,3,0.26,0.2727,0.93,0.1045,11,105,116
59,11708,2012-05-08,2,1,5,0,0,2,1,2,0.52,0.5,0.52,0.2537,10,28,38
60,5675,2011-08-29,3,0,8,21,0,1,1,1,0.64,0.6212,0.53,0.194,34,168,202
61,12359,2012-06-04,2,1,6,3,0,1,1,2,0.56,0.5303,0.6,0.1642,0,5,5
62,6348,2011-09-27,4,0,9,1,0,2,1,1,0.62,0.5455,0.94,0.1642,4,6,10
63,4986,2011-07-31,3,0,7,15,0,0,0,1,0.92,0.7727,0.18,0.2985,109,184,293
64,1428,2011-03-04,1,0,3,18,0,5,1,2,0.34,0.303,0.53,0.2985,15,172,187
65,9553,2012-02-07,1,1,2,23,0,2,1,1,0.32,0.3333,0.57,0.1343,2,49,51
66,4388,2011-07-06,3,0,7,17,0,3,1,1,0.78,0.7424,0.59,0.2239,79,517,596
67,2754,2011-04-29,2,0,4,15,0,5,1,2,0.56,0.5303,0.4,0.2985,77,175,252
68,10241,2012-03-07,1,1,3,18,0,3,1,1,0.56,0.5303,0.4,0.4627,35,509,544
69,6622,2011-10-08,4,0,10,11,0,6,0,1,0.58,0.5455,0.56,0.0,176,221,397
70,1414,2011-03-04,1,0,3,4,0,5,1,2,0.18,0.1818,0.74,0.194,1,0,1
71,115,2011-01-05,1,0,1,23,0,3,1,1,0.2,0.2576,0.47,0.0,1,18,19
72,12275,2012-05-31,2,1,5,15,0,4,1,1,0.76,0.6667,0.33,0.2985,81,209,290
73,3718,2011-06-08,2,0,6,19,0,3,1,1,0.82,0.803,0.59,0.1343,61,323,384
74,231,2011-01-10,1,0,1,21,0,1,1,1,0.14,0.1364,0.59,0.194,1,37,38
75,13239,2012-07-10,3,1,7,19,0,2,1,3,0.7,0.6667,0.74,0.2239,55,359,414
76,9261,2012-01-26,1,1,1,18,0,4,1,2,0.42,0.4242,0.71,0.0,12,394,406
77,10265,2012-03-08,1,1,3,18,0,4,1,2,0.62,0.6212,0.38,0.5522,45,545,590
78,8930,2012-01-12,1,1,1,22,0,4,1,1,0.38,0.3939,0.76,0.2985,12,121,133
79,6226,2011-09-21,3,0,9,23,0,3,1,1,0.6,0.5152,0.94,0.1045,15,80,95
80,1521,2011-03-08,1,0,3,17,0,2,1,1,0.36,0.3485,0.27,0.2239,39,209,248
81,7631,2011-11-19,4,0,11,13,0,6,0,1,0.42,0.4242,0.3,0.2836,118,245,363
82,4270,2011-07-01,3,0,7,19,0,5,1,1,0.78,0.6667,0.25,0.194,80,238,318
83,215,2011-01-10,1,0,1,5,0,1,1,1,0.1,0.1061,0.54,0.2537,0,3,3
84,11750,2012-05-09,2,1,5,18,0,3,1,3,0.52,0.5,0.77,0.5821,23,349,372
85,7133,2011-10-29,4,0,10,19,0,6,0,1,0.24,0.2121,0.87,0.3582,3,36,39
86,8458,2011-12-24,1,0,12,1,0,6,0,2,0.32,0.3485,0.66,0.0,1,15,16
87,2488,2011-04-18,2,0,4,13,0,1,1,2,0.56,0.5303,0.49,0.1642,41,128,169
88,7865,2011-11-29,4,0,11,8,0,2,1,1,0.54,0.5152,0.77,0.2836,9,440,449
89,13861,2012-08-05,3,1,8,17,0,0,0,1,0.82,0.7576,0.46,0.2537,122,260,382
90,2183,2011-04-05,2,0,4,19,0,2,1,1,0.36,0.3333,0.43,0.2985,12,148,160
91,3324,2011-05-23,2,0,5,9,0,1,1,1,0.6,0.5455,0.88,0.2239,36,131,167
92,9244,2012-01-26,1,1,1,1,0,4,1,2,0.28,0.3182,0.75,0.0,5,16,21
93,7497,2011-11-13,4,0,11,23,0,0,0,1,0.46,0.4545,0.51,0.2985,18,49,67
94,12088,2012-05-23,2,1,5,20,0,3,1,2,0.62,0.5758,0.83,0.0896,28,267,295
95,9058,2012-01-18,1,1,1,7,0,3,1,1,0.32,0.2879,0.42,0.3582,1,262,263
96,3502,2011-05-30,2,0,5,19,1,1,0,2,0.52,0.5,0.48,0.1045,68,157,225
97,10507,2012-03-18,1,1,3,21,0,0,0,1,0.52,0.5,0.72,0.0896,44,129,173
98,12695,2012-06-18,2,1,6,3,0,1,1,2,0.52,0.5,0.83,0.2239,1,3,4
99,12864,2012-06-25,3,1,6,4,0,1,1,1,0.66,0.6061,0.78,0.2537,0,4,4
100,6424,2011-09-30,4,0,9,5,0,5,1,1,0.52,0.5,0.83,0.194,3,23,26
101,6960,2011-10-22,4,0,10,14,0,6,0,2,0.48,0.4697,0.48,0.2239,133,177,310
102,8662,2012-01-01,1,1,1,16,0,0,0,2,0.44,0.4394,0.54,0.2985,68,147,215
103,9856,2012-02-20,1,1,2,15,1,1,0,1,0.34,0.3182,0.34,0.2239,54,235,289
104,7303,2011-11-05,4,0,11,21,0,6,0,1,0.32,0.3485,0.66,0.0,19,99,118
105,13228,2012-07-10,3,1,7,8,0,2,1,1,0.72,0.697,0.74,0.1343,34,615,649
106,11344,2012-04-22,2,1,4,20,0,0,0,3,0.36,0.3333,0.93,0.4179,1,34,35
107,1499,2011-03-07,1,0,3,19,0,1,1,1,0.3,0.2879,0.33,0.2239,11,134,145
108,6378,2011-09-28,4,0,9,7,0,3,1,3,0.6,0.5152,0.94,0.1642,8,177,185
109,13652,2012-07-28,3,1,7,0,0,6,0,1,0.74,0.6818,0.62,0.1343,21,170,191
110,9376,2012-01-31,1,1,1,13,0,2,1,1,0.46,0.4545,0.36,0.2239,27,171,198
111,10285,2012-03-09,1,1,3,14,0,5,1,1,0.42,0.4242,0.28,0.4627,49,129,178
112,3661,2011-06-06,2,0,6,10,0,1,1,1,0.72,0.6667,0.51,0.2239,31,64,95
113,6614,2011-10-08,4,0,10,3,0,6,0,1,0.44,0.4394,0.88,0.0,4,16,20
114,13626,2012-07-26,3,1,7,22,0,4,1,1,0.8,0.7424,0.49,0.6119,33,201,234
115,7496,2011-11-13,4,0,11,22,0,0,0,1,0.48,0.4697,0.41,0.3881,25,64,89
116,2056,2011-03-31,2,0,3,12,0,4,1,3,0.28,0.2727,0.93,0.194,17,73,90
117,11889,2012-05-15,2,1,5,13,0,2,1,3,0.64,0.6061,0.73,0.194,35,204,239
118,2059,2011-03-31,2,0,3,15,0,4,1,3,0.3,0.2727,0.87,0.2985,4,61,65
119,3026,2011-05-10,2,0,5,23,0,2,1,2,0.52,0.5,0.59,0.1343,9,72,81
120,12563,2012-06-12,2,1,6,15,0,2,1,3,0.66,0.5909,0.89,0.194,22,94,116
121,4309,2011-07-03,3,0,7,10,0,0,0,1,0.74,0.697,0.66,0.1642,131,133,264
122,5749,2011-09-01,3,0,9,23,0,4,1,1,0.64,0.6061,0.65,0.2537,15,111,126
123,14629,2012-09-06,3,1,9,17,0,4,1,1,0.74,0.697,0.7,0.2537,67,741,808
124,9296,2012-01-28,1,1,1,5,0,6,0,1,0.24,0.2576,0.75,0.0896,0,10,10
125,6479,2011-10-02,4,0,10,12,0,0,0,2,0.4,0.4091,0.62,0.194,78,243,321
126,7900,2011-11-30,4,0,11,19,0,3,1,2,0.32,0.303,0.57,0.2836,6,273,279
127,11625,2012-05-04,2,1,5,13,0,5,1,2,0.64,0.6061,0.73,0.0,71,207,278
128,484,2011-01-22,1,0,1,4,0,6,0,2,0.02,0.0152,0.48,0.2985,0,3,3
129,5227,2011-08-10,3,0,8,16,0,3,1,1,0.86,0.7424,0.26,0.2985,76,206,282
130,4203,2011-06-29,3,0,6,0,0,3,1,2,0.68,0.6364,0.79,0.2836,11,25,36
131,4882,2011-07-27,3,0,7,7,0,3,1,1,0.72,0.6667,0.48,0.2537,34,313,347
132,6915,2011-10-20,4,0,10,17,0,4,1,2,0.48,0.4697,0.48,0.3881,56,438,494
133,9158,2012-01-22,1,1,1,11,0,0,0,3,0.16,0.1515,0.8,0.2537,18,115,133
134,8855,2012-01-09,1,1,1,18,0,1,1,4,0.2,0.2273,0.86,0.0896,6,158,164
135,6836,2011-10-17,4,0,10,9,0,1,1,2,0.5,0.4848,0.45,0.2836,26,180,206
136,10051,2012-02-28,1,1,2,19,0,2,1,1,0.42,0.4242,0.26,0.0,15,291,306
137,11513,2012-04-29,2,1,4,21,0,0,0,1,0.52,0.5,0.48,0.1343,65,139,204
138,2047,2011-03-31,2,0,3,3,0,4,1,3,0.24,0.2273,0.93,0.2239,0,1,1
139,12854,2012-06-24,3,1,6,18,0,0,0,1,0.82,0.7273,0.34,0.2537,186,348,534
140,11670,2012-05-06,2,1,5,10,0,0,0,2,0.54,0.5152,0.77,0.1045,112,221,333
141,11558,2012-05-01,2,1,5,18,0,2,1,1,0.7,0.6515,0.54,0.1343,81,662,743
142,10656,2012-03-25,2,1,3,2,0,0,0,3,0.42,0.4242,1.0,0.2985,6,29,35
143,6662,2011-10-10,4,0,10,3,1,1,0,1,0.46,0.4545,0.88,0.0,2,9,11
144,12877,2012-06-25,3,1,6,17,0,1,1,1,0.8,0.6818,0.24,0.4627,76,757,833
145,13371,2012-07-16,3,1,7,7,0,1,1,1,0.72,0.6818,0.7,0.0896,24,459,483
146,2348,2011-04-12,2,0,4,17,0,2,1,3,0.44,0.4394,0.77,0.2239,29,262,291
147,8145,2011-12-11,4,0,12,0,0,0,0,1,0.2,0.197,0.51,0.2239,5,69,74
148,3289,2011-05-21,2,0,5,22,0,6,0,1,0.6,0.5909,0.69,0.1343,78,126,204
149,12230,2012-05-29,2,1,5,18,0,2,1,1,0.8,0.7424,0.49,0.4925,78,632,710
150,6871,2011-10-18,4,0,10,20,0,2,1,1,0.54,0.5152,0.64,0.1642,23,204,227
151,9542,2012-02-07,1,1,2,12,0,2,1,1,0.4,0.4091,0.4,0.3284,9,163,172
152,14706,2012-09-09,3,1,9,22,0,0,0,1,0.58,0.5455,0.49,0.2537,64,125,189
153,13286,2012-07-12,3,1,7,18,0,4,1,1,0.76,0.6818,0.45,0.1343,86,739,825
154,1415,2011-03-04,1,0,3,5,0,5,1,2,0.16,0.1818,0.74,0.1343,0,7,7
155,500,2011-01-22,1,0,1,21,0,6,0,1,0.06,0.1061,0.41,0.0896,0,39,39
156,669,2011-01-31,1,0,1,4,0,1,1,1,0.2,0.197,0.59,0.2239,0,2,2
157,9721,2012-02-14,1,1,2,23,0,2,1,2,0.36,0.3636,0.5,0.0896,2,55,57
158,4171,2011-06-27,3,0,6,16,0,1,1,1,0.74,0.6818,0.55,0.1045,53,222,275
159,14414,2012-08-28,3,1,8,18,0,2,1,1,0.78,0.697,0.4,0.2537,82,736,818
160,4354,2011-07-05,3,0,7,7,0,2,1,1,0.7,0.6515,0.65,0.0896,22,248,270
161,2486,2011-04-18,2,0,4,11,0,1,1,2,0.54,0.5152,0.52,0.0896,36,87,123
162,6177,2011-09-19,3,0,9,22,0,1,1,2,0.56,0.5303,0.68,0.1642,25,104,129
163,14510,2012-09-01,3,1,9,18,0,6,0,2,0.82,0.7727,0.52,0.0,184,258,442
164,304,2011-01-14,1,0,1,2,0,5,1,1,0.1,0.1212,0.54,0.1343,0,1,1
165,7727,2011-11-23,4,0,11,13,0,3,1,2,0.44,0.4394,0.54,0.4925,12,162,174
166,1704,2011-03-16,1,0,3,15,0,3,1,2,0.4,0.4091,0.76,0.2537,22,79,101
167,6693,2011-10-11,4,0,10,10,0,2,1,2,0.6,0.5909,0.69,0.1343,38,111,149
168,13994,2012-08-11,3,1,8,6,0,6,0,2,0.62,0.5606,0.88,0.1045,5,18,23
169,12347,2012-06-03,2,1,6,15,0,0,0,1,0.7,0.6364,0.34,0.0,236,408,644
170,1043,2011-02-16,1,0,2,4,0,3,1,1,0.2,0.197,0.51,0.194,0,1,1
171,12941,2012-06-28,3,1,6,9,0,4,1,1,0.7,0.6515,0.54,0.1642,33,318,351
172,13374,2012-07-16,3,1,7,10,0,1,1,1,0.8,0.7727,0.59,0.0,69,117,186
173,3838,2011-06-13,2,0,6,19,0,1,1,1,0.66,0.6212,0.39,0.2836,75,348,423
174,5770,2011-09-02,3,0,9,20,0,5,1,1,0.64,0.6061,0.73,0.0,38,158,196
175,7145,2011-10-30,4,0,10,7,0,0,0,1,0.24,0.2879,0.75,0.0,7,15,22
176,3899,2011-06-16,2,0,6,8,0,4,1,2,0.6,0.5909,0.69,0.1343,24,364,388
177,5668,2011-08-29,3,0,8,14,0,1,1,1,0.7,0.6364,0.42,0.0,55,127,182
178,9196,2012-01-24,1,1,1,1,0,2,1,2,0.32,0.303,0.93,0.2537,2,7,9
179,13510,2012-07-22,3,1,7,2,0,0,0,2,0.6,0.5455,0.88,0.1045,32,90,122
180,2925,2011-05-06,2,0,5,18,0,5,1,3,0.54,0.5152,0.52,0.3582,85,385,470
181,12464,2012-06-08,2,1,6,12,0,5,1,1,0.72,0.6515,0.39,0.3284,89,280,369
182,3430,2011-05-27,2,0,5,19,0,5,1,3,0.6,0.5758,0.78,0.2537,69,210,279
183,12861,2012-06-25,3,1,6,1,0,1,1,1,0.7,0.6515,0.65,0.2239,11,20,31
184,8160,2011-12-11,4,0,12,15,0,0,0,1,0.3,0.3333,0.26,0.0,47,219,266
185,5853,2011-09-06,3,0,9,8,0,2,1,3,0.54,0.5152,0.83,0.3881,15,349,364
186,9536,2012-02-07,1,1,2,6,0,2,1,1,0.32,0.303,0.45,0.2985,2,98,100
187,4193,2011-06-28,3,0,6,14,0,2,1,1,0.86,0.7879,0.44,0.2239,43,117,160
188,1069,2011-02-17,1,0,2,6,0,4,1,1,0.3,0.303,0.7,0.1343,3,44,47
189,9337,2012-01-29,1,1,1,22,0,0,0,1,0.32,0.2879,0.26,0.3881,7,57,64
190,9170,2012-01-22,1,1,1,23,0,0,0,2,0.16,0.1818,0.93,0.1045,2,35,37
191,2471,2011-04-17,2,0,4,20,0,0,0,1,0.52,0.5,0.36,0.194,44,97,141
192,11420,2012-04-26,2,1,4,0,0,4,1,2,0.48,0.4697,0.63,0.0,1,42,43
193,11914,2012-05-16,2,1,5,14,0,3,1,1,0.72,0.6515,0.42,0.0896,42,221,263
194,554,2011-01-25,1,0,1,6,0,2,1,1,0.16,0.1818,0.74,0.1045,1,35,36
195,7874,2011-11-29,4,0,11,17,0,2,1,2,0.4,0.4091,0.87,0.2985,8,346,354
196,3475,2011-05-29,2,0,5,16,0,0,0,1,0.74,0.697,0.7,0.2836,194,167,361
197,12731,2012-06-19,2,1,6,15,0,2,1,1,0.78,0.7424,0.59,0.1642,72,187,259
198,14626,2012-09-06,3,1,9,14,0,4,1,1,0.74,0.7121,0.74,0.0896,38,178,216
199,11529,2012-04-30,2,1,4,13,0,1,1,2,0.48,0.4697,0.51,0.0896,48,199,247
200,2767,2011-04-30,2,0,4,4,0,6,0,2,0.42,0.4242,0.54,0.2239,2,5,7
201,4460,2011-07-09,3,0,7,17,0,6,0,1,0.84,0.7273,0.32,0.0,160,241,401
202,9187,2012-01-23,1,1,1,16,0,1,1,2,0.24,0.2424,0.93,0.1642,14,108,122
203,8342,2011-12-19,4,0,12,5,0,1,1,1,0.14,0.1667,0.93,0.1045,0,21,21
204,9684,2012-02-13,1,1,2,10,0,1,1,1,0.14,0.1515,0.5,0.1343,1,70,71
205,7886,2011-11-30,4,0,11,5,0,3,1,1,0.28,0.2727,0.81,0.194,1,21,22
206,2817,2011-05-02,2,0,5,6,0,1,1,1,0.44,0.4394,0.88,0.1045,3,59,62
207,12870,2012-06-25,3,1,6,10,0,1,1,1,0.76,0.697,0.55,0.1642,58,126,184
208,3805,2011-06-12,2,0,6,10,0,0,0,1,0.76,0.7121,0.58,0.0896,120,191,311
209,13868,2012-08-06,3,1,8,0,0,1,1,2,0.72,0.697,0.79,0.0,9,24,33
210,7629,2011-11-19,4,0,11,11,0,6,0,1,0.36,0.3788,0.4,0.0,50,183,233
211,11841,2012-05-13,2,1,5,13,0,0,0,1,0.68,0.6364,0.54,0.2537,255,347,602
212,421,2011-01-19,1,0,1,13,0,3,1,1,0.4,0.4091,0.62,0.2836,11,67,78
213,10711,2012-03-27,2,1,3,9,0,2,1,1,0.24,0.2273,0.38,0.194,8,259,267
214,7840,2011-11-28,4,0,11,7,0,1,1,1,0.42,0.4242,0.88,0.0,7,270,277
215,7048,2011-10-26,4,0,10,6,0,3,1,1,0.42,0.4242,0.71,0.2239,0,92,92
216,1497,2011-03-07,1,0,3,17,0,1,1,1,0.34,0.303,0.29,0.3582,27,206,233
217,1048,2011-02-16,1,0,2,9,0,3,1,1,0.24,0.2121,0.52,0.2836,2,122,124
218,11450,2012-04-27,2,1,4,6,0,5,1,1,0.4,0.4091,0.43,0.2537,5,115,120
219,8595,2011-12-29,1,0,12,21,0,4,1,2,0.28,0.2879,0.61,0.1343,8,60,68
220,857,2011-02-08,1,0,2,3,0,2,1,3,0.28,0.2727,0.93,0.1642,0,1,1
221,9676,2012-02-13,1,1,2,2,0,1,1,1,0.14,0.1364,0.46,0.194,0,4,4
222,13316,2012-07-14,3,1,7,0,0,6,0,2,0.72,0.6667,0.48,0.0896,35,156,191
223,7984,2011-12-04,4,0,12,7,0,0,0,1,0.26,0.303,0.87,0.0,3,23,26
224,12925,2012-06-27,3,1,6,17,0,3,1,1,0.82,0.697,0.24,0.3881,113,730,843
225,8899,2012-01-11,1,1,1,15,0,3,1,2,0.34,0.3485,0.87,0.0896,6,73,79
226,11031,2012-04-09,2,1,4,18,0,1,1,1,0.54,0.5152,0.34,0.2985,60,586,646
227,5422,2011-08-18,3,0,8,19,0,4,1,1,0.66,0.6061,0.83,0.1045,26,115,141
228,9692,2012-02-13,1,1,2,18,0,1,1,1,0.34,0.3182,0.25,0.2537,6,399,405
229,7489,2011-11-13,4,0,11,15,0,0,0,2,0.5,0.4848,0.42,0.3284,89,221,310
230,9560,2012-02-08,1,1,2,6,0,3,1,2,0.24,0.2879,0.7,0.0,3,95,98
231,3223,2011-05-19,2,0,5,4,0,4,1,1,0.48,0.4697,0.94,0.0,2,3,5
232,821,2011-02-06,1,0,2,15,0,0,0,1,0.34,0.3485,0.46,0.0896,52,130,182
233,1644,2011-03-14,1,0,3,0,0,1,1,1,0.26,0.2727,0.65,0.1045,4,7,11
234,13852,2012-08-05,3,1,8,8,0,0,0,1,0.76,0.7273,0.66,0.3284,27,81,108
235,4603,2011-07-15,3,0,7,16,0,5,1,1,0.72,0.6667,0.51,0.194,96,265,361
236,2632,2011-04-24,2,0,4,13,0,0,0,1,0.7,0.6515,0.58,0.2836,205,236,441
237,108,2011-01-05,1,0,1,16,0,3,1,1,0.3,0.3182,0.28,0.0896,4,85,89
238,10176,2012-03-05,1,1,3,1,0,1,1,1,0.24,0.2424,0.48,0.1343,3,3,6
239,368,2011-01-16,1,0,1,19,0,0,0,1,0.18,0.197,0.47,0.1343,14,47,61
240,4148,2011-06-26,3,0,6,17,0,0,0,2,0.72,0.6515,0.42,0.1642,178,243,421
241,417,2011-01-19,1,0,1,9,0,3,1,2,0.24,0.2576,0.93,0.1045,2,107,109
242,2421,2011-04-15,2,0,4,18,1,5,0,2,0.46,0.4545,0.67,0.3881,47,216,263
243,730,2011-02-02,1,0,2,18,0,3,1,1,0.34,0.2879,0.42,0.5522,7,175,182
244,13759,2012-08-01,3,1,8,11,0,3,1,1,0.76,0.7121,0.58,0.0896,54,180,234
245,9554,2012-02-08,1,1,2,0,0,3,1,1,0.3,0.2879,0.56,0.2239,2,21,23
246,6021,2011-09-13,3,0,9,10,0,2,1,1,0.68,0.6364,0.69,0.1343,42,93,135
247,3376,2011-05-25,2,0,5,13,0,3,1,1,0.74,0.6818,0.55,0.1343,39,163,202
248,3577,2011-06-02,2,0,6,22,0,4,1,1,0.64,0.6212,0.33,0.2537,14,141,155
249,10939,2012-04-05,2,1,4,22,0,4,1,1,0.4,0.4091,0.47,0.194,20,129,149
250,12293,2012-06-01,2,1,6,9,0,5,1,2,0.64,0.5758,0.83,0.2239,24,274,298
251,2389,2011-04-14,2,0,4,10,0,4,1,1,0.5,0.4848,0.51,0.194,21,68,89
252,4239,2011-06-30,3,0,6,12,0,4,1,1,0.76,0.6667,0.35,0.1642,50,183,233
253,10937,2012-04-05,2,1,4,20,0,4,1,1,0.44,0.4394,0.41,0.194,33,279,312
254,14036,2012-08-13,3,1,8,0,0,1,1,1,0.66,0.6212,0.65,0.1045,14,33,47
255,8317,2011-12-18,4,0,12,4,0,0,0,1,0.22,0.2121,0.55,0.2239,0,1,1
256,4948,2011-07-30,3,0,7,1,0,6,0,1,0.76,0.697,0.55,0.0896,15,75,90
257,4293,2011-07-02,3,0,7,18,0,6,0,1,0.82,0.7121,0.3,0.2836,193,190,383
258,511,2011-01-23,1,0,1,9,0,0,0,1,0.1,0.0758,0.54,0.3582,3,25,28
259,701,2011-02-01,1,0,2,13,0,2,1,2,0.2,0.2576,0.86,0.0,3,49,52
260,3821,2011-06-13,2,0,6,2,0,1,1,1,0.62,0.5909,0.73,0.2836,2,8,10
261,10975,2012-04-07,2,1,4,10,0,6,0,1,0.42,0.4242,0.28,0.2537,187,176,363
262,2629,2011-04-24,2,0,4,10,0,0,0,1,0.6,0.5758,0.78,0.1642,118,171,289
263,4401,2011-07-07,3,0,7,6,0,4,1,2,0.64,0.5758,0.89,0.1343,11,107,118
264,1278,2011-02-26,1,0,2,9,0,6,0,2,0.26,0.2576,0.56,0.1642,9,65,74
265,11233,2012-04-18,2,1,4,5,0,3,1,2,0.5,0.4848,0.39,0.2836,0,34,34
266,2031,2011-03-30,2,0,3,11,0,3,1,2,0.34,0.3182,0.46,0.2537,26,64,90
267,4926,2011-07-29,3,0,7,3,0,5,1,1,0.74,0.7121,0.79,0.0,2,9,11
268,40,2011-01-02,1,0,1,16,0,0,0,3,0.34,0.3333,0.71,0.1642,9,67,76
